"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","학교구분","학년구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천필요여부 상세내용","제출서류 상세내용","홈페이지주소","모집시작일","모집종료일"
"914","부마민주항쟁기념재단","장학생","민간(기타)","장학금","기타","해당없음","해당없음","해당없음","해당없음","500000원","고등학교 재학생 중 아래 하나에 해당되는 자부마민주항쟁 피해자 및 관련자의 자녀민주화운동 관련자의 자녀시민사회운동 활동가의 자녀기타 장학금 지급이 합당하다고 인정되는 자","해당없음","해당없음","4명","해당없음","해당없음","장학생 지원서장학생 지원자 정보개인정보 수집이용 동의서가족관계증명서재학증명서휴학증명서입학예정을 확인할 수 있는 서류건강보험납부확인서해당자 제출 서류 * 자세한 내용은 첨부파일 참고","http://buma1979.or.kr","2023-06-19","2023-06-30"
"915","재단법인 충청남도평생교육인재육성진흥원","예체능특기장학생","지자체","장학금","지역연고","해당없음","해당없음","해당없음","해당없음","1000000원원","1년간(2022.10.01.∼2023.09.30.) 각 분야별 아래의 공인된 국내대회 또는 국제대회 입상자","공고일(2023.10.10.) 기준 본인 또는 부모가 충청남도에 1년 이상계속하여 주민등록상 주소지를 둔 충남소재 고등학교 재학생","학교장 추천 후 선발위원회 심사를 통한 선발","20명","2023년도 본 진흥원 및 타 기관·조직 장학금 수혜자","단체의 경우 소속단체에서 기여도가 높은 학생 중에서 소속단체 지도자의 추천을 받은 1인만 장학생 지원 가능학교장 추천 필요요","2023년도 예체능특기 장학생 신청서장학생 추천서자기소개 및 미래계획서실적증명(신청자격에 해당하는 실적증명 서류)개인정보 수집동의서신청자 또는 부모의 주민등록 초본 ※ 부모 주민등록초본 제출시 가족관계증명서 필수 제출도내 고등학교 재학증명서※ 자세한 사항은 기관 홈페이지 참조","http://www.cninjae.or.kr/","2023-10-10","2023-11-09"
"916","한국세무사회공익재단","생활비 장학금","민간(기업)","장학금","소득구분","해당없음","해당없음","해당없음","기초생활수급자 차상위계층 차차상위계층 청소년한부모급여지원자등 가사 간병방문지원자등 청소년한부모자립지원패키지긴급복지지원자등","500000 ~ 1000000"," * 자세한 사항은 홈페이지에서 확인","해당없음"," * 자세한 사항은 홈페이지에서 확인","00명"," * 자세한 사항은 홈페이지에서 확인","해당없음","지원신청서주민등록등본통장 사본개인정보 수집 및 제공 동의서기초생활수급자 : 기초생활수급자증명서차상위계층 : 차상위계층관련증명서차차상위계층 : 청소년 한부모가정증명서 장애인등록증명서 * 자세한 사항은 홈페이지에서 확인","www.kacptaf.or.kr","2023-10-17","2023-10-22"
"917","재단법인고성향토장학회","희망드림 장학생","지자체","장학금","지역연고","해당없음","해당없음","해당없음","기초생활수급자 차상위계층 한부모가정","1000000원","고성군 관내 고등학생","선발 공고일 기준 1년전부터 계속해서 본인 또는 친권자가 고성군에 주민등록이 되어있는 자","해당없음","55명","해당없음","해당없음","지원서개인정보 수집 이용 및 제공 조회 동의서가족관계 증명서주민등록등본주택 임대차 계약서실질적인 보호자와 학생의 관계를 확인할 수 있는 서류수급자증명서 차상위계층 확인증명서 한부모가족 증명서(해당자별)","http://www.gwgs.go.kr/","2023-02-24","2023-03-20"
"918","재단법인 안산인재육성재단","대부사랑장학금","지자체","장학금","지역연고","해당없음","해당없음","해당없음","해당없음","1인당 500000원 지역화폐로 제공 ","해당없음","공고일 현재 본인과 가구원 1인 이상이 계속하여 3년 이상 또는 합산 10년 이상 안산시에 주소를 두고 거주하고 있고 대부 고등학교로 진학하여 재학중인 학생 ","선발 심사표에 따라 배점 순위로 선발 ","67명 ","관외로 이주한 경우퇴학. 정학.휴학처분을 받거나 자퇴 건강 장애 등 기타 사유로 학업을 중단하거나 계속할 수 없을 경우안산시 장학생으로 품위를 손상한 경우 ","대부 고등학교 학교장이 추천한 자로 학교를 통한 일괄 신청 ","안산인재육성재단 장학생 추천서 1부개인정보 수집. 이용동의서 1부서약서 1부학생 본인 초본지역화폐(다온)카드 사본","http://www.ansanfys.go.kr","2023-04-03","2023-04-14"
"919","재단법인 드림파크장학회","학업우수 장학생","민간(기타)","장학금","성적우수","해당없음","해당없음","고등학생(12학년) : 2023년도 성적이 산출되는 과목 중 1~2등급 이내인 과목의 비율이 80% 이상인 자","해당없음","해당없음","해당없음","본인 또는 보호자가 수도권매립지 주변영향지역 2년 이상 거주 또는 관련 분야에 2년 이상 종사사","해당없음","해당없음","해당없음","해당없음","장학생 신청서성적증명서(대학생은 4.5점 기준으로 발급)주민등록 등.초본 각1통(주변영향지역 거주기간 모두 포함)개인정보 수집.이용 및 제 3자 제공 동의서 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://blog.naver.com/slcsholar","2024-01-08","2024-01-22"
"920","백운장학회(광양)","선행장학생","지자체","장학금","지역연고","해당없음","해당없음","해당없음","해당없음","700000원","관내 고교에 재학 중인 자로 봉사 및 선행 실적이 우수한 자","공고일 기준 부모 또는 보호자가 광양시에 1년 이상 주소를 두고 있는 학생 (부·모 모두가 주소를 광양시에 두고 있어야함)","해당없음","3명","신청 학생이 개인소득자인 경우장학금 신청자와 그 부.모가 지방세를 체납 중인 경우장학금의 이중.허위 수혜 등 기타 부정행위가 적발된 경우","광양교육지원청교육장이 추천한 자","해당 학교를 통해 신청","http://www.gwangyang.go.kr/fund/","2023-08-01","2023-08-31"
"921","재단법인 부천교육문화재단(미사용)","희망키움 장학생","민간(기타)","장학금","기타","해당없음","해당없음","해당없음","보호자(부.모 합산) 월 국민건강보험료 15만원 미만 대상자","1000000원","기초생활수급자 차상위계층 기타 저소득층 가정 학생부천관내 고등학교 1~3학년 재학생 ","해당없음","해당없음","35명","해당없음","해당없음","장학금신청서교사추천서자기소개서학업계획서개인정보 동의서신청인 서약서학부모 서약서기타 저소득층※ 자세한 사항은 기관 홈페이지 참조","http://www.bucheonfoundation.or.kr","2023-08-21","2023-09-08"
"922","재단법인 부여군굿뜨래장학회","굿뜨래장학생","지자체","장학금","지역연고","해당없음","해당없음","(성적우수) 고등학교 입학예정자는 입학 석차가 40% 이내 재학생은 직전학기 전 과목별 성적 평균 등급이 4등급 이내","해당없음","500000원","(장애인) 장애인 학생(다자녀) 3인 이상의 자녀를 둔 세대의 학생(다문화) 다문화 가정 자녀녀","공고일 1년전부터 부여군에 주소를 둔 군민 또는 군민의 자녀","학업성적 경제적 여건 자격증 수상실적 봉사활동 등 서류심사 ","38명 (성적우수 29인. 장애인 3인 다자녀세대 3인 다문화가정 3인)성적우수장학금의 경우 각 고등학교마다 배정된 인원이 있으므로 첨부파일 참고 바람람","재학기간 중 1번만 선발한 세대 한 명 하나의 분야만 신청가능 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","신청서성적증명서재학증명서주민등록등초본 건강보험료 납부확인서유형별 해당 서류 * 자세한 사항은 첨부파일 참고 ","http://buyeo.go.kr","2024-01-29","2024-02-13"
"923","재단법인 대구광역시인재육성장학재단","대구교육인재육성장학금(자기관리)","지자체","장학금","지역연고","해당없음","해당없음","해당없음","기준 중위소득 100% 이하 가정 학생'23년도 건강보험료 소득판정기준표의 가구원수에 따른 건강보험료 본인부담금 이하 납부 가정  * 자세한 사항은 첨부파일 참고","4000000원원매년 재심사를 거쳐 고등학교 졸업시까지 지속 지원","대구 소재 고등학교 1~2학년 재학생평소 행실이 바르며 모범적인 학생학교장이 추천하는 '자기관리역량' 우수 인재 및 성장가능성이 있다고 판단되는 자자기 진로 도전 성실성 리더십 독서 인문교육(학생 책 저자 등) 특정부야 우수자 및 성장가능한 자관련활동 참여자","대구 소재 고등학교 재학생","1차 서류평가2차 면접평가","총 10명명","징계 처분 받은 경우학업 중단한 경우타 시도로 전학(진학) 시민간을 제외한 정부 지자체 및 공공기관의 장학금 이중수혜시 (단 일회성장학금 제외)  * 자세한 사항은 첨부파일 참고","학교장 추천","건강보험료 납부확인서주민등록등본 * 자세한 사항은 첨부파일 참고","www.dge.go.kr","2023-08-02","2023-09-01"
"924","성삼장학회","성삼장학생","지자체","장학금","지역연고","해당없음","해당없음","해당없음","저소득층한부모다자녀다문화 가정기타 복지 사각지대에 놓여 생활이 어려운 학생","500000원","해당없음","접수 공고일을 기준으로 성수2가 제3동에 주소를 두고 1년 이상 거주한 주민의 자녀","해당없음","고등학생 2명","타 기관 장학금 수혜자 선정 제외국가 또는 지방자치단체 학교 민간단체로부터 학비 전액 수혜자 (단 근로장학금은 예외)","해당없음","추천서자기소개서개인정보제공동의서건강보험료 납부확인서 (2022년 12월분)부모 재산세과세증명서 (2022년)재학증명서 * 자세한 내용은 첨부파일 참고","http://www.sd.go.kr/sd/main.do","2023-01-04","2023-02-03"
"925","수도권매립지주민지원협의체","자립장학생","민간(기타)","장학금","소득구분","해당없음","해당없음","해당없음","국민기초생활수급자 및 차상위계층(중위소득 50%이내) 자녀로서 관할 동(면)장이 인정한 자","1000000원","해당없음","해당없음","해당없음","해당없음","23년도 검단장학재단 및 24년도 드림파크 장학재단 장학금 수여자 제외동일 세대 지원자 2인 이상일 경우 1인만 지급 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","관할 동(면)장 추천","장학생신청서재학증명서성적증명서개인정보 수집 등 동의서주민등록 등초본 각 1통씩저소득장학생 확인서장학금 지급 통장사본 * 자세한 내용은 첨부파일 참고","https://www.slc.or.kr/","2024-01-15","2024-01-26"
"926","사단법인 고령군교육발전위원회","불우가정 장학생","지자체","장학금","지역연고","해당없음","해당없음","해당없음","해당없음","1인당 1000000원 이내 ","천재지변 등 가정의 불행으로 장학금이 없으면 학업을 계속할 수 없는 학생","고령군 관내 중.고등학교에 재학 중인 학생","해당없음","해당없음","해당없음","재학 중.고등학교장 추천에 의하여 신청.접수","장학생 추천서장학금 추천사유 증빙서류","http://www.gredu.or.kr","2023-02-16","2023-02-22"
